"date","month","type","total_in_tons"
"2021-06-30T00:00:00.000","June","Scrap Metal","332"
"2021-06-30T00:00:00.000","June","Bottle Bill","317"
"2021-06-30T00:00:00.000","June","Misc. Recycling","10"
"2021-05-31T00:00:00.000","May","Curb Recycling","1543"
"2021-05-31T00:00:00.000","May","Curb Garbage","9154"
"2021-05-31T00:00:00.000","May","E-Waste","22"
"2021-05-31T00:00:00.000","May","Haz Waste","0"
"2021-05-31T00:00:00.000","May","Yard Waste","181"
"2021-05-31T00:00:00.000","May","Misc. Garbage","3051"
"2021-05-31T00:00:00.000","May","Recycled Tires","25"
"2021-05-31T00:00:00.000","May","Scrap Metal","332"
"2021-05-31T00:00:00.000","May","Bottle Bill","317"
"2021-05-31T00:00:00.000","May","Misc. Recycling","10"
"2021-04-30T00:00:00.000","April","Misc. Recycling","10"
"2021-04-30T00:00:00.000","April","Misc. Garbage","2094"
"2021-04-30T00:00:00.000","April","Curb Garbage","8716"
"2021-04-30T00:00:00.000","April","E-Waste","23"
"2021-04-30T00:00:00.000","April","Haz Waste","0"
"2021-04-30T00:00:00.000","April","Yard Waste","178"
"2021-04-30T00:00:00.000","April","Recycled Tires","38"
"2021-04-30T00:00:00.000","April","Scrap Metal","332"
"2021-04-30T00:00:00.000","April","Bottle Bill","317"
"2021-04-30T00:00:00.000","April","Curb Recycling","1626"
"2021-03-31T00:00:00.000","March","Misc. Recycling","10"
"2021-03-31T00:00:00.000","March","Misc. Garbage","994"
"2021-03-31T00:00:00.000","March","Curb Garbage","8265"
"2021-03-31T00:00:00.000","March","E-Waste","16"
"2021-03-31T00:00:00.000","March","Haz Waste","0"
"2021-03-31T00:00:00.000","March","Yard Waste","146"
"2021-03-31T00:00:00.000","March","Recycled Tires","24"
"2021-03-31T00:00:00.000","March","Scrap Metal","332"
"2021-03-31T00:00:00.000","March","Bottle Bill","317"
"2021-03-31T00:00:00.000","March","Curb Recycling","1661"
"2021-02-28T00:00:00.000","February","Misc. Recycling","10"
"2021-02-28T00:00:00.000","February","Misc. Garbage","253"
"2021-02-28T00:00:00.000","February","Curb Garbage","4927"
"2021-02-28T00:00:00.000","February","E-Waste","16"
"2021-02-28T00:00:00.000","February","Haz Waste","0"
"2021-02-28T00:00:00.000","February","Yard Waste","66"
"2021-02-28T00:00:00.000","February","Recycled Tires","12"
"2021-02-28T00:00:00.000","February","Scrap Metal","332"
"2021-02-28T00:00:00.000","February","Bottle Bill","317"
"2021-02-28T00:00:00.000","February","Curb Recycling","1250"
"2021-01-31T00:00:00.000","January","Yard Waste","209"
"2021-01-31T00:00:00.000","January","Misc. Garbage","524"
"2021-01-31T00:00:00.000","January","Curb Garbage","6877"
"2021-01-31T00:00:00.000","January","E-Waste","19"
"2021-01-31T00:00:00.000","January","Haz Waste","0"
"2021-01-31T00:00:00.000","January","Recycled Tires","17"
"2021-01-31T00:00:00.000","January","Scrap Metal","332"
"2021-01-31T00:00:00.000","January","Bottle Bill","317"
"2021-01-31T00:00:00.000","January","Misc. Recycling","10"
"2021-01-31T00:00:00.000","January","Curb Recycling","1597"
"2020-12-31T00:00:00.000","December","Misc. Garbage","620"
"2020-12-31T00:00:00.000","December","Curb Garbage","7944"
"2020-12-31T00:00:00.000","December","Haz Waste","0"
"2020-12-31T00:00:00.000","December","Yard Waste","519"
"2020-12-31T00:00:00.000","December","Recycled Tires","22"
"2020-12-31T00:00:00.000","December","E-Waste","30"
"2020-12-31T00:00:00.000","December","Scrap Metal","732"
"2020-12-31T00:00:00.000","December","Bottle Bill","317"
"2020-12-31T00:00:00.000","December","Misc. Recycling","5100"
"2020-12-31T00:00:00.000","December","Curb Recycling","1708"
"2020-11-30T00:00:00.000","November","Misc. Garbage","566"
"2020-11-30T00:00:00.000","November","Curb Garbage","8444"
"2020-11-30T00:00:00.000","November","E-Waste","30"
"2020-11-30T00:00:00.000","November","Haz Waste","0"
"2020-11-30T00:00:00.000","November","Yard Waste","519"
"2020-11-30T00:00:00.000","November","Recycled Tires","22"
"2020-11-30T00:00:00.000","November","Scrap Metal","332"
"2020-11-30T00:00:00.000","November","Bottle Bill","317"
"2020-11-30T00:00:00.000","November","Misc. Recycling","10"
"2020-11-30T00:00:00.000","November","Curb Recycling","1488"
"2020-10-31T00:00:00.000","October","Misc. Garbage","1052"
"2020-10-31T00:00:00.000","October","Curb Garbage","8384"
"2020-10-31T00:00:00.000","October","E-Waste","30"
"2020-10-31T00:00:00.000","October","Haz Waste","0"
"2020-10-31T00:00:00.000","October","Yard Waste","519"
"2020-10-31T00:00:00.000","October","Recycled Tires","22"
"2020-10-31T00:00:00.000","October","Scrap Metal","332"
"2020-10-31T00:00:00.000","October","Bottle Bill","317"
"2020-10-31T00:00:00.000","October","Misc. Recycling","10"
"2020-10-31T00:00:00.000","October","Curb Recycling","1593"
"2020-09-30T00:00:00.000","September","Misc. Recycling","10"
